boy, 13, 150, 40, 21
boy, 20, 180, 90, 31boy, , , , 
boy, 13, 32, 14, 31
, , , , 
girl, 12, 34, 12, 43
girl, , , , 
girl, , , , 
boy, 23, 12, 12, 12
boy, 21, 213, 213, 12
boy, 12, 12, 21, 21
boy, 12, 12, 12, 12
boy, 12, 12, 12, 12
boy, 1, 1, 1, 1
boy, 1, 1, 1, 1
boy, 1, 1, 1, 1
boy, 1, 1, 1, 1
boy, 1, 1, 1, 1
boy, 1, 1, 1, 1
boy, 1, 1, 1, 1
boy, 1, 1, 1, 1
boy, 1, 1, 1, 1
boy, 2, 2, 2, 2
boy, 1, 2, 3, 4
boy, 1, 2.2, 3, 4
boy, 2, 2, 2, 2
boy, 12, 2, 2, 1
boy, 2, 2, 3, 4
boy, 2, 1, 1, 1
boy, 2, 22, 2, 2
boy, 1, 2, 3, 4
girl, 12, 32, 43, 12
